set,alpha,inst,lms1sbbf,lms1sbbf.t,lms1dw,lms1dw.t,n,lm1,lms1,lm2,lm3,lm4,opt,lmb
SBF2,0.25,wee-mag_c=42,37,113.659557744,55,0.00410517,75,36,36,55,31,36,55,55
SBF2,0.25,wee-mag_c=43,36,49.897024242,50,0.00354784,75,35,35,50,31,36,50,50
SBF2,0.25,wee-mag_c=45,34,27.538320463,38,0.009348967,75,34,34,31,31,34,38,38
SBF2,0.25,wee-mag_c=46,33,27.344148237,34,0.01334641,75,33,33,27,30,33,34,34
SBF2,0.25,wee-mag_c=47,32,31.15957599,33,0.029433193,75,32,32,23,30,32,33,33
SBF2,0.25,wee-mag_c=49,31,32.955243869,32,0.014863415,75,31,31,17,30,31,32,32
SBF2,0.25,wee-mag_c=50,30,36.026795294,32,0.012032051,75,30,30,13,30,30,32,32
SBF2,0.25,wee-mag_c=52,29,33.89668878,31,0.012432773,75,29,29,5,30,29,31,31
SBF2,0.25,wee-mag_c=54,28,46.719595385,31,0.010229237,75,28,28,1,30,28,31,31
SBF2,0.25,wee-mag_c=56,27,29.959770443,30,0.011166503,75,27,27,0,30,27,30,30
SBF2,0.50,Arc111_c=10027,16,47.761979506,16,155.419833859,111,15,15,4,7,15,16,16
SBF2,0.50,Arc111_c=10743,14,31.352968268,14,599.968206781,111,14,14,2,4,14,15,14
SBF2,0.50,Arc111_c=11570,13,20.347430286,13,161.146258445,111,13,13,0,4,13,13,13
SBF2,0.50,Arc111_c=17067,9,6.082349348,9,1.403201625,111,9,9,0,1,9,9,9
SBF2,0.50,Arc111_c=5785,27,122.052616657,27,54.843952486,111,26,26,17,21,27,27,27
SBF2,0.50,Arc111_c=6016,26,44.357483213,26,14.820492118,111,26,26,15,18,26,26,26
SBF2,0.50,Arc111_c=6267,25,123.46360292,25,49.021982777,111,24,24,14,17,25,25,25
SBF2,0.50,Arc111_c=6540,24,106.113635046,24,25.248483548,111,23,23,13,17,24,24,24
SBF2,0.50,Arc111_c=6837,23,93.027028025,23,86.655877671,111,22,22,12,15,23,23,23
SBF2,0.50,Arc111_c=7162,22,28.541532024,22,83.531767863,111,22,22,8,13,22,22,22
SBF2,0.50,Arc111_c=7520,20,53.635763959,21,61.608533494,111,20,20,8,13,20,21,21
SBF2,0.50,Arc111_c=7916,20,47.037992364,20,399.54212164,111,19,19,8,12,19,20,20
SBF2,0.50,Arc111_c=8356,19,76.11759669,19,117.859191397,111,18,18,5,10,18,19,19
SBF2,0.50,Arc111_c=9400,16,25.734354262,17,141.830926789,111,16,16,5,7,16,17,17
SBF2,0.50,Arc83_c=3786,21,3.272917844,21,0.122512141,83,21,21,5,9,21,21,21
SBF2,0.50,Arc83_c=3985,20,2.319976069,20,0.119932264,83,20,20,5,6,20,20,20
SBF2,0.50,Arc83_c=4206,19,2.15660134,19,0.139803589,83,19,19,4,6,19,19,19
SBF2,0.50,Arc83_c=4454,18,3.415659338,18,0.085292996,83,17,17,4,6,18,18,18
SBF2,0.50,Arc83_c=4732,17,1.735711507,17,0.099057396,83,17,17,3,6,17,17,17
SBF2,0.50,Arc83_c=5048,16,4.556771578,16,0.177905298,83,15,15,3,5,16,16,16
SBF2,0.50,Arc83_c=5408,15,1.516383756,15,0.148170013,83,15,15,2,4,15,15,15
SBF2,0.50,Arc83_c=5824,14,1.162900286,14,0.139746702,83,14,14,1,3,14,14,14
SBF2,0.50,Arc83_c=6309,13,0.857917005,13,0.134404436,83,13,13,1,2,13,13,13
SBF2,0.50,Arc83_c=6883,12,1.256213109,12,0.08777915,83,12,12,1,2,12,12,12
SBF2,0.50,Arc83_c=7571,11,0.759324968,11,0.12036816,83,11,11,0,2,11,11,11
SBF2,0.50,Sawyer30_c=33,10,0.05042974,11,0.006772392,30,10,10,5,7,10,11,11
SBF2,0.50,Sawyer30_c=47,7,0.059611439,7,0.004773981,30,7,7,1,4,7,7,7
SBF2,0.50,Tonge70_c=160,23,0.791876581,23,0.063240629,70,23,23,14,16,23,23,23
SBF2,0.50,Tonge70_c=168,21,0.95861277,22,0.078215652,70,21,21,13,15,21,22,22
SBF2,0.50,Tonge70_c=176,20,1.220924755,21,0.068690946,70,20,20,12,15,20,21,21
SBF2,0.50,Tonge70_c=185,19,1.013727735,20,0.066326806,70,19,19,9,14,19,20,20
SBF2,0.50,Tonge70_c=195,18,1.215378103,19,0.070384949,70,18,18,8,13,18,19,19
SBF2,0.50,Tonge70_c=207,17,0.913810254,18,0.13338314,70,17,17,7,11,17,18,18
SBF2,0.50,Tonge70_c=220,16,0.721791355,17,0.212370989,70,16,16,7,9,16,17,17
SBF2,0.50,Tonge70_c=234,15,0.755597367,16,0.123303692,70,15,15,7,8,15,16,16
SBF2,0.50,Tonge70_c=251,14,0.576042566,14,0.134755046,70,14,14,6,7,14,14,14
SBF2,0.50,Tonge70_c=270,13,0.612783853,14,0.364502281,70,13,13,4,5,13,14,14
SBF2,0.50,Tonge70_c=293,12,0.470379572,13,0.310187867,70,12,12,2,4,12,13,13
SBF2,0.50,Tonge70_c=320,11,0.441497977,11,0.120799613,70,11,11,0,4,11,11,11
SBF2,0.50,arc111_c=11378,14,11.175211274,14,64.34267953,111,14,14,1,4,14,14,14
SBF2,0.50,arc111_c=5755,27,34.012045618,27,46.956274135,111,27,27,18,21,27,27,27
SBF2,0.50,arc111_c=8847,18,87.7992164,18,83.680157171,111,17,17,5,9,17,18,18
SBF2,0.50,arc83_c=10816,8,1.112701817,8,82.460453317,83,7,7,0,1,7,8,8
SBF2,0.50,arc83_c=5853,14,1.2016208,14,0.196596801,83,13,13,1,3,14,14,14
SBF2,0.50,arc83_c=6842,12,0.877735301,12,0.184157769,83,12,12,1,2,12,12,12
SBF2,0.50,arc83_c=8412,10,0.617561822,10,0.225477688,83,10,10,0,1,10,10,10
SBF2,0.50,arc83_c=8898,9,0.488509706,9,0.074086966,83,9,9,0,1,9,9,9
SBF2,0.50,barthol2_c=115,37,552.435644623,37,0.709762924,148,37,37,13,23,37,37,37
SBF2,0.50,barthol2_c=118,36,565.634196617,36,0.887078873,148,36,36,12,21,36,36,36
SBF2,0.50,barthol2_c=125,34,519.38854852,34,1.032935767,148,34,34,11,16,34,34,34
SBF2,0.50,barthol2_c=133,32,554.536740526,32,1.305077174,148,32,32,7,15,32,32,32
SBF2,0.50,barthol2_c=137,31,505.438750022,31,0.921717743,148,31,31,7,15,31,31,31
SBF2,0.50,barthol2_c=142,30,418.911575898,30,1.248085985,148,30,30,6,11,30,30,30
SBF2,0.50,barthol2_c=146,29,508.987399171,29,3.146202075,148,29,29,6,10,29,29,29
SBF2,0.50,barthol2_c=152,28,358.303523526,28,1.200183809,148,28,28,6,10,28,28,28
SBF2,0.50,barthol2_c=157,27,436.069921593,27,2.366064332,148,27,27,4,9,27,27,27
SBF2,0.50,barthol2_c=163,26,404.60969098,26,4.037903148,148,26,26,1,8,26,26,26
SBF2,0.50,barthol2_c=170,25,411.425627935,25,2.294254493,148,25,25,0,7,25,25,25
SBF2,0.50,barthol2_c=99,43,586.788352936,43,0.513752221,148,43,43,20,28,43,43,43
SBF2,0.50,barthold_c=403,14,293.60399383,14,355.921841907,148,14,14,2,5,14,14,14
SBF2,0.50,barthold_c=434,13,238.620740894,13,32.382617508,148,13,13,2,4,13,13,13
SBF2,0.50,barthold_c=470,12,212.348454829,12,52.684038748,148,12,12,2,3,12,12,12
SBF2,0.50,barthold_c=513,11,175.512165609,11,19.171605546,148,11,11,2,2,11,11,11
SBF2,0.50,barthold_c=564,10,161.210927561,10,40.956284825,148,10,10,1,2,10,10,10
SBF2,0.50,barthold_c=626,9,138.604530431,9,14.349698268,148,9,9,1,1,9,9,9
SBF2,0.50,barthold_c=705,8,69.974095994,8,79.074453628,148,8,8,1,1,8,8,8
SBF2,0.50,barthold_c=805,7,59.219057467,7,79.823463965,148,7,7,0,1,7,7,7
SBF2,0.50,bowman8_c=20,5,0.001916022,5,6.69978e-4,8,5,5,4,4,5,5,5
SBF2,0.50,buxey_c=27,13,0.039515329,13,0.003543052,29,13,13,12,12,13,13,13
SBF2,0.50,buxey_c=30,11,0.039119087,12,0.003982937,29,11,11,8,9,11,12,12
SBF2,0.50,buxey_c=33,10,0.043630505,11,0.005293926,29,10,10,5,7,11,11,11
SBF2,0.50,buxey_c=36,9,0.050458874,10,0.004035802,29,9,9,4,7,9,10,10
SBF2,0.50,buxey_c=41,8,0.049143142,8,0.003703134,29,8,8,2,6,8,8,8
SBF2,0.50,buxey_c=47,7,0.0362558,7,0.004507575,29,7,7,1,4,7,7,7
SBF2,0.50,buxey_c=54,7,0.108593302,7,0.008811601,29,6,6,0,2,6,7,7
SBF2,0.50,gunther_c=41,13,0.097837536,14,0.004730312,35,12,12,12,12,13,14,14
SBF2,0.50,gunther_c=44,11,0.075661046,12,0.005068014,35,11,11,11,10,11,12,12
SBF2,0.50,gunther_c=49,10,0.055614161,11,0.007959363,35,10,10,7,8,10,11,11
SBF2,0.50,gunther_c=54,9,0.059018689,9,0.004498815,35,9,9,7,8,9,9,9
SBF2,0.50,gunther_c=61,8,0.04837319,9,0.0055446,35,8,8,2,6,8,9,9
SBF2,0.50,gunther_c=69,8,0.037827779,8,0.007401275,35,7,7,2,5,8,8,8
SBF2,0.50,gunther_c=81,7,0.040105067,7,0.008177541,35,6,6,0,4,7,7,7
SBF2,0.50,hahn_c=2004,8,0.035916985,8,0.004196866,53,8,8,5,4,8,8,8
SBF2,0.50,hahn_c=2338,7,0.018091298,7,0.023589052,53,7,7,3,3,7,7,7
SBF2,0.50,hahn_c=2806,6,0.026215861,6,0.01942567,53,5,5,2,3,5,6,6
SBF2,0.50,hahn_c=3507,5,0.014508598,5,0.004166842,53,5,5,1,2,5,5,5
SBF2,0.50,hahn_c=4676,4,0.014695507,4,0.004567126,53,4,4,0,1,4,4,4
SBF2,0.50,heskia_c=138,8,0.055097601,8,0.005430333,28,8,8,5,7,8,8,8
SBF2,0.50,heskia_c=205,5,0.087123233,5,0.022264142,28,5,5,2,3,5,5,5
SBF2,0.50,heskia_c=216,5,0.029340866,5,0.002459279,28,5,5,1,2,5,5,5
SBF2,0.50,heskia_c=256,4,0.058291003,4,0.013832837,28,4,4,0,2,4,4,4
SBF2,0.50,heskia_c=324,4,0.029614869,4,0.005384626,28,4,4,0,1,4,4,4
SBF2,0.50,heskia_c=342,3,0.036896845,3,0.008776212,28,3,3,0,0,3,3,3
SBF2,0.50,jackson_c=10,5,0.003325513,5,8.85968e-4,11,5,5,5,4,5,5,5
SBF2,0.50,jackson_c=13,4,0.002912556,4,8.92116e-4,11,4,4,1,3,4,4,4
SBF2,0.50,jackson_c=14,4,0.003055849,4,7.32047e-4,11,4,4,1,3,4,4,4
SBF2,0.50,jackson_c=21,3,0.002281003,3,7.53464e-4,11,3,3,0,1,3,3,3
SBF2,0.50,jackson_c=7,8,0.002607061,8,6.83728e-4,11,7,7,7,8,7,8,8
SBF2,0.50,jackson_c=9,6,0.004874635,6,8.55816e-4,11,6,6,6,5,6,6,6
SBF2,0.50,jaeschke_c=10,4,0.002016,4,5.20052e-4,9,4,4,3,4,4,4,4
SBF2,0.50,jaeschke_c=18,3,0.001825639,3,5.25687e-4,9,3,3,0,1,3,3,3
SBF2,0.50,jaeschke_c=6,8,0.001514664,8,4.74886e-4,9,8,8,8,8,8,8,8
SBF2,0.50,jaeschke_c=7,7,0.002602327,7,5.1986e-4,9,6,6,7,6,6,7,7
SBF2,0.50,jaeschke_c=8,6,0.002397012,6,5.12053e-4,9,5,5,6,5,6,6,6
SBF2,0.50,kilbrid_c=110,6,0.053624678,6,0.021154538,45,6,6,1,1,6,6,6
SBF2,0.50,kilbrid_c=111,5,0.106174382,5,0.018518686,45,5,5,0,1,5,5,5
SBF2,0.50,kilbrid_c=138,4,0.159348108,4,0.031581882,45,4,4,0,1,4,4,4
SBF2,0.50,kilbrid_c=184,3,0.09806323,3,0.042533717,45,3,3,0,0,3,3,3
SBF2,0.50,kilbrid_c=56,10,0.298315209,10,0.013003864,45,10,10,2,6,10,10,10
SBF2,0.50,kilbrid_c=57,10,0.143312922,10,0.01070849,45,10,10,2,6,10,10,10
SBF2,0.50,kilbrid_c=62,9,0.311870357,9,0.012449595,45,9,9,1,4,9,9,9
SBF2,0.50,kilbrid_c=69,8,0.25454226,8,0.010586078,45,8,8,1,3,8,8,8
SBF2,0.50,kilbrid_c=79,7,0.209823634,7,0.019114443,45,7,7,1,2,7,7,7
SBF2,0.50,kilbrid_c=92,6,0.186035699,6,0.02585602,45,6,6,1,1,6,6,6
SBF2,0.50,lutz1_c=1414,11,0.010321824,11,0.002750828,32,11,11,2,6,11,11,11
SBF2,0.50,lutz1_c=1572,10,0.008809873,10,0.003347272,32,10,10,2,5,10,10,10
SBF2,0.50,lutz1_c=1768,9,0.008112251,9,0.003976698,32,9,9,1,4,9,9,9
SBF2,0.50,lutz1_c=2020,8,0.016057889,8,0.003874668,32,8,8,1,3,8,8,8
SBF2,0.50,lutz1_c=2357,7,0.007153797,7,0.003870122,32,7,7,1,1,7,7,7
SBF2,0.50,lutz1_c=2828,6,0.011977929,6,0.002424718,32,6,6,0,1,6,6,6
SBF2,0.50,lutz2_c=11,47,2.171522352,49,0.013511885,89,46,46,44,45,46,49,49
SBF2,0.50,lutz2_c=12,42,1.467681098,44,0.014953048,89,42,42,40,41,42,44,44
SBF2,0.50,lutz2_c=13,39,1.750684218,40,0.018688945,89,39,39,35,36,39,40,40
SBF2,0.50,lutz2_c=14,36,1.507714236,37,0.022489578,89,36,36,31,32,36,37,37
SBF2,0.50,lutz2_c=15,33,1.222844182,33,0.024785256,89,33,33,26,27,33,34,33
SBF2,0.50,lutz2_c=16,31,1.447603941,31,0.02376355,89,31,31,22,22,31,31,31
SBF2,0.50,lutz2_c=17,29,0.975226059,29,0.025803721,89,29,29,17,22,29,29,29
SBF2,0.50,lutz2_c=18,27,1.168602982,28,0.023691645,89,27,27,13,21,27,28,28
SBF2,0.50,lutz2_c=19,26,0.907851389,26,0.023781115,89,26,26,8,18,26,26,26
SBF2,0.50,lutz2_c=20,25,0.944288367,25,0.026080117,89,25,25,4,18,25,25,25
SBF2,0.50,lutz2_c=21,24,1.114512151,24,0.031273999,89,24,24,0,16,24,24,24
SBF2,0.50,lutz3_c=103,17,0.499806535,17,0.115616101,89,16,16,3,5,17,17,17
SBF2,0.50,lutz3_c=110,15,0.387978992,15,0.160987072,89,15,15,3,5,15,15,15
SBF2,0.50,lutz3_c=118,14,0.36853241,14,0.169850951,89,14,14,3,3,14,14,14
SBF2,0.50,lutz3_c=127,13,0.356837439,14,0.141597467,89,13,13,2,2,13,14,14
SBF2,0.50,lutz3_c=137,13,0.235726995,13,0.135859509,89,13,13,1,2,13,13,13
SBF2,0.50,lutz3_c=150,11,0.329886579,12,0.268027856,89,11,11,0,2,11,12,12
SBF2,0.50,lutz3_c=75,22,0.673376845,23,0.07646552,89,22,22,8,12,23,23,23
SBF2,0.50,lutz3_c=79,21,0.36409115,22,0.063216731,89,21,21,5,11,21,22,22
SBF2,0.50,lutz3_c=83,20,0.457634504,21,0.059861975,89,20,20,5,10,20,21,21
SBF2,0.50,lutz3_c=87,20,0.513417813,20,0.062123149,89,19,19,4,9,20,20,20
SBF2,0.50,lutz3_c=92,18,0.417635522,19,0.113850325,89,18,18,4,8,18,19,19
SBF2,0.50,lutz3_c=97,17,0.683897597,18,0.087811333,89,17,17,3,6,17,18,18
SBF2,0.50,mansoor_c=48,4,0.002679919,4,7.87567e-4,11,4,4,3,3,4,4,4
SBF2,0.50,mansoor_c=62,3,0.003763112,3,7.14363e-4,11,3,3,3,2,3,3,3
SBF2,0.50,mansoor_c=94,2,0.002202021,2,5.63721e-4,11,2,2,0,2,2,2,2
SBF2,0.50,mertens_c=10,3,0.001676823,3,5.38927e-4,7,3,3,3,3,3,3,3
SBF2,0.50,mertens_c=15,2,0.001930396,2,5.34188e-4,7,2,2,0,2,2,2,2
SBF2,0.50,mertens_c=18,2,0.001739314,2,5.39891e-4,7,2,2,0,1,2,2,2
SBF2,0.50,mertens_c=6,6,0.001605208,6,5.9295e-4,7,6,6,6,6,6,6,6
SBF2,0.50,mertens_c=7,5,0.001516296,5,5.37242e-4,7,5,5,5,5,5,5,5
SBF2,0.50,mertens_c=8,5,0.001580262,5,6.007e-4,7,5,5,5,4,5,5,5
SBF2,0.50,mitchell_c=14,8,0.004817087,8,0.001709329,21,8,8,5,6,8,8,8
SBF2,0.50,mitchell_c=15,8,0.006130246,8,0.002221814,21,8,8,4,6,8,8,8
SBF2,0.50,mitchell_c=21,5,0.004103657,5,7.75586e-4,21,5,5,1,3,5,5,5
SBF2,0.50,mitchell_c=26,5,0.005371938,5,0.001298659,21,5,5,1,2,5,5,5
SBF2,0.50,mitchell_c=35,3,0.003373674,3,9.11749e-4,21,3,3,0,1,3,3,3
SBF2,0.50,mitchell_c=39,3,0.003654011,3,9.56672e-4,21,3,3,0,1,3,3,3
SBF2,0.50,mukherje_c=176,25,21.287339254,25,0.808348692,94,25,25,10,15,25,25,25
SBF2,0.50,mukherje_c=183,24,18.139702078,24,1.399686454,94,24,24,10,15,24,24,24
SBF2,0.50,mukherje_c=192,23,12.878975176,23,0.748213482,94,22,22,8,12,23,23,23
SBF2,0.50,mukherje_c=201,22,12.357151467,22,0.980118807,94,21,21,8,11,22,22,22
SBF2,0.50,mukherje_c=211,21,19.063105763,21,0.458063928,94,20,20,7,10,21,21,21
SBF2,0.50,mukherje_c=222,20,8.814558318,20,1.398120175,94,19,19,7,9,20,20,20
SBF2,0.50,mukherje_c=234,19,7.91093507,19,2.427801246,94,18,18,4,7,19,19,19
SBF2,0.50,mukherje_c=248,18,9.884237458,18,55.712235845,94,17,17,3,6,18,18,18
SBF2,0.50,mukherje_c=263,17,5.721357156,17,85.702750271,94,16,16,3,5,17,17,17
SBF2,0.50,mukherje_c=281,16,4.049916354,16,9.940394095,94,15,15,3,5,16,16,16
SBF2,0.50,mukherje_c=301,15,3.987028362,15,7.380244883,94,14,14,2,4,15,15,15
SBF2,0.50,mukherje_c=324,14,3.652938701,13,599.980687976,94,13,13,1,4,14,14,14
SBF2,0.50,mukherje_c=351,13,2.519022691,13,5.562591412,94,12,12,0,2,13,13,13
SBF2,0.50,roszieg_c=14,10,0.011207395,10,0.002210637,25,9,9,6,7,10,10,10
SBF2,0.50,roszieg_c=16,8,0.007346665,8,0.002776676,25,8,8,4,4,8,8,8
SBF2,0.50,roszieg_c=18,8,0.012510563,8,0.003714158,25,7,7,2,4,8,8,8
SBF2,0.50,roszieg_c=21,6,0.006159179,6,0.003200948,25,6,6,1,4,6,6,6
SBF2,0.50,roszieg_c=25,6,0.012736102,6,0.003349352,25,5,5,1,2,6,6,6
SBF2,0.50,roszieg_c=32,4,0.007285971,4,0.001020238,25,4,4,0,1,4,4,4
SBF2,0.50,sawyer30_c=25,13,0.103215193,14,0.004355926,30,13,13,12,12,13,14,14
SBF2,0.50,sawyer30_c=27,13,0.049681916,13,0.004122054,30,13,13,12,11,13,13,13
SBF2,0.50,sawyer30_c=30,11,0.058481186,12,0.005105663,30,11,11,8,9,11,12,12
SBF2,0.50,sawyer30_c=36,9,0.064012934,10,0.005864206,30,9,9,4,7,9,10,10
SBF2,0.50,sawyer30_c=41,8,0.060289917,8,0.004819522,30,8,8,2,6,8,8,8
SBF2,0.50,sawyer30_c=54,6,0.045703679999999997,7,0.010246927,30,6,6,0,2,6,7,7
SBF2,0.50,sawyer30_c=75,5,0.017853414,5,0.005583378,30,5,5,0,1,5,5,5
SBF2,0.50,tonge70_c=364,10,0.266807355,10,0.048802395,70,10,10,0,3,10,10,10
SBF2,0.50,tonge70_c=410,9,0.164903184,9,0.081433785,70,9,9,0,2,9,9,9
SBF2,0.50,tonge70_c=468,8,0.17097691,8,0.073454414,70,8,8,0,1,8,8,8
SBF2,0.50,tonge70_c=527,7,0.140784088,7,0.03859595,70,7,7,0,0,7,7,7
SBF2,0.50,warnecke_c=104,15,0.622915125,15,0.026514751,58,15,15,3,9,15,15,15
SBF2,0.50,warnecke_c=111,14,0.490667345,14,0.030451949,58,14,14,0,8,14,14,14
SBF2,0.50,warnecke_c=54,30,0.758173194,31,0.007934455,58,30,30,26,26,30,31,31
SBF2,0.50,warnecke_c=56,29,0.676480237,29,0.009888087,58,29,29,26,24,29,29,29
SBF2,0.50,warnecke_c=58,28,0.625027322,29,0.015819864,58,28,28,25,24,28,29,29
SBF2,0.50,warnecke_c=60,27,0.74906876,27,0.00867587,58,27,27,24,24,27,27,27
SBF2,0.50,warnecke_c=62,26,0.921708241,27,0.010443391,58,26,26,24,24,26,27,27
SBF2,0.50,warnecke_c=65,24,0.682107745,25,0.012051375,58,24,24,24,23,24,25,25
SBF2,0.50,warnecke_c=68,23,0.889682089,24,0.013803901,58,23,23,19,21,23,24,24
SBF2,0.50,warnecke_c=71,22,0.820468634,23,0.009693126,58,22,22,16,18,22,23,23
SBF2,0.50,warnecke_c=74,21,1.01904795,22,0.011610556,58,21,21,14,17,21,22,22
SBF2,0.50,warnecke_c=78,20,0.838761043,21,0.016997777,58,20,20,13,15,20,21,21
SBF2,0.50,warnecke_c=82,19,0.862726599,20,0.01453538,58,19,19,13,13,19,20,20
SBF2,0.50,warnecke_c=86,18,1.140618989,19,0.014150829,58,18,18,11,13,18,19,19
SBF2,0.50,warnecke_c=92,17,0.944707018,17,0.013164704,58,17,17,7,12,17,17,17
SBF2,0.50,warnecke_c=97,16,0.91129191,17,0.022878124,58,16,16,6,12,16,17,17
SBF2,0.50,wee-mag_c=28,56,4.177339355,63,0.002875752,75,56,56,61,63,56,63,63
SBF2,0.50,wee-mag_c=29,53,11.619897803,63,0.003477143,75,53,53,61,63,53,63,63
SBF2,0.50,wee-mag_c=30,51,12.197806292,62,0.003145777,75,51,51,61,62,51,62,62
SBF2,0.50,wee-mag_c=31,49,14.570840583,62,0.003462487,75,49,49,60,62,49,62,62
