set,alpha,inst,lms1sbbf,lms1sbbf.t,lms1dw,lms1dw.t,n,lm1,lms1,lm2,lm3,lm4,opt,lmb
SBF2,0.50,wee-mag_c=32,48,22.462130701,61,0.003531912,75,48,48,60,57,48,61,61
SBF2,0.50,wee-mag_c=33,47,95.728279221,61,0.003324494,75,46,46,60,51,46,61,61
SBF2,0.50,wee-mag_c=34,47,75.27437829,61,0.003679901,75,45,45,60,47,45,61,61
SBF2,0.50,wee-mag_c=35,46,100.847088241,60,0.003500303,75,43,43,60,43,43,60,60
SBF2,0.50,wee-mag_c=36,46,138.781245007,60,0.003892944,75,42,42,60,41,42,60,60
SBF2,0.50,wee-mag_c=37,45,164.089276836,60,0.003496571,75,41,41,60,40,41,60,60
SBF2,0.50,wee-mag_c=38,45,168.76416502,60,0.003764316,75,40,40,60,35,40,60,60
SBF2,0.50,wee-mag_c=39,45,161.709965045,60,0.003750082,75,39,39,60,33,39,60,60
SBF2,0.50,wee-mag_c=40,45,210.913874189,60,0.003497882,75,38,38,60,32,38,60,60
SBF2,0.50,wee-mag_c=41,43,69.120821313,59,0.003354167,75,37,37,59,31,37,59,59
SBF2,0.50,wee-mag_c=42,37,89.672874558,55,0.004348703,75,36,36,55,31,36,55,55
SBF2,0.50,wee-mag_c=43,36,48.967199637,50,0.004416106,75,35,35,50,31,36,50,50
SBF2,0.50,wee-mag_c=45,34,26.05556725,38,0.01107058,75,34,34,31,31,34,38,38
SBF2,0.50,wee-mag_c=46,33,24.475711744,34,0.013504852,75,33,33,27,30,33,34,34
SBF2,0.50,wee-mag_c=47,32,25.254843158,33,0.036107524,75,32,32,23,30,32,33,33
SBF2,0.50,wee-mag_c=49,31,38.265437299,32,0.015768396,75,31,31,17,30,31,32,32
SBF2,0.50,wee-mag_c=50,31,52.013888668,32,0.020835369,75,30,30,13,30,30,32,32
SBF2,0.50,wee-mag_c=52,29,28.974331803,31,0.014362314,75,29,29,5,30,29,31,31
SBF2,0.50,wee-mag_c=54,28,32.659167748,31,0.01004979,75,28,28,1,30,28,31,31
SBF2,0.50,wee-mag_c=56,27,33.739139263,30,0.012525202,75,27,27,0,30,27,30,30
SBF2,0.75,Arc111_c=10027,16,46.92759211,15,599.973964314,111,15,15,4,7,15,16,16
SBF2,0.75,Arc111_c=10743,14,30.001771178,14,599.94909365,111,14,14,2,4,14,15,14
SBF2,0.75,Arc111_c=11570,13,19.064099067,13,193.054932137,111,13,13,0,4,13,13,13
SBF2,0.75,Arc111_c=17067,9,11.421218287,9,6.04235149,111,9,9,0,1,9,9,9
SBF2,0.75,Arc111_c=5785,27,123.405430224,27,101.172434939,111,26,26,17,21,27,27,27
SBF2,0.75,Arc111_c=6016,26,29.620419668,26,66.165935748,111,26,26,15,18,26,26,26
SBF2,0.75,Arc111_c=6267,25,147.047987915,25,86.45973558,111,24,24,14,17,25,25,25
SBF2,0.75,Arc111_c=6540,24,97.268468661,24,37.721777066,111,23,23,13,17,24,24,24
SBF2,0.75,Arc111_c=6837,23,74.515323575,23,260.796321445,111,22,22,12,15,23,23,23
SBF2,0.75,Arc111_c=7162,22,31.037290241,22,85.743711043,111,22,22,8,13,22,22,22
SBF2,0.75,Arc111_c=7520,20,44.192775022,21,258.008221427,111,20,20,8,13,20,21,21
SBF2,0.75,Arc111_c=7916,20,51.763633831,20,285.358072754,111,19,19,8,12,19,20,20
SBF2,0.75,Arc111_c=8356,19,67.824356098,19,105.686086209,111,18,18,5,10,18,19,19
SBF2,0.75,Arc111_c=9400,16,34.53877757,17,275.295300886,111,16,16,5,7,16,17,17
SBF2,0.75,Arc83_c=3786,21,2.014185384,21,0.130415007,83,21,21,5,9,21,21,21
SBF2,0.75,Arc83_c=3985,20,2.321700243,20,0.123600586,83,20,20,5,6,20,20,20
SBF2,0.75,Arc83_c=4206,19,2.239681185,19,0.158125047,83,19,19,4,6,19,19,19
SBF2,0.75,Arc83_c=4454,18,6.324452139,18,0.104563682,83,17,17,4,6,18,18,18
SBF2,0.75,Arc83_c=4732,17,1.994351136,17,0.166010165,83,17,17,3,6,17,17,17
SBF2,0.75,Arc83_c=5048,16,4.846127582,16,0.22394371800000001,83,15,15,3,5,16,16,16
SBF2,0.75,Arc83_c=5408,15,1.06698784,15,0.223239349,83,15,15,2,4,15,15,15
SBF2,0.75,Arc83_c=5824,14,1.052248993,14,0.321217742,83,14,14,1,3,14,14,14
SBF2,0.75,Arc83_c=6309,13,1.045451307,13,0.325887743,83,13,13,1,2,13,13,13
SBF2,0.75,Arc83_c=6883,12,0.796445021,12,0.30497126,83,12,12,1,2,12,12,12
SBF2,0.75,Arc83_c=7571,11,0.902491844,11,0.159475109,83,11,11,0,2,11,11,11
SBF2,0.75,Sawyer30_c=33,10,0.059954908,11,0.00480619,30,10,10,5,7,10,11,11
SBF2,0.75,Sawyer30_c=47,7,0.041784645,7,0.004258145,30,7,7,1,4,7,7,7
SBF2,0.75,Tonge70_c=160,23,1.408858667,23,0.048916401,70,23,23,14,16,23,23,23
SBF2,0.75,Tonge70_c=168,21,1.102746934,22,0.090577302,70,21,21,13,15,21,22,22
SBF2,0.75,Tonge70_c=176,20,1.248839829,21,0.054892386,70,20,20,12,15,20,21,21
SBF2,0.75,Tonge70_c=185,19,0.939858003,20,0.062342988,70,19,19,9,14,19,20,20
SBF2,0.75,Tonge70_c=195,18,0.985892578,19,0.076716032,70,18,18,8,13,18,19,19
SBF2,0.75,Tonge70_c=207,17,0.860272769,18,0.14947739,70,17,17,7,11,17,18,18
SBF2,0.75,Tonge70_c=220,16,0.765836853,17,0.168770802,70,16,16,7,9,16,17,17
SBF2,0.75,Tonge70_c=234,15,0.908015215,16,0.145825082,70,15,15,7,8,15,16,16
SBF2,0.75,Tonge70_c=251,14,0.747104152,14,0.245599692,70,14,14,6,7,14,14,14
SBF2,0.75,Tonge70_c=270,13,0.584620198,14,0.624448316,70,13,13,4,5,13,14,14
SBF2,0.75,Tonge70_c=293,12,0.449547245,13,0.465132068,70,12,12,2,4,12,13,13
SBF2,0.75,Tonge70_c=320,11,0.39055041,11,0.511970671,70,11,11,0,4,11,11,11
SBF2,0.75,arc111_c=11378,14,11.190758723,14,135.021599697,111,14,14,1,4,14,14,14
SBF2,0.75,arc111_c=5755,27,42.653879864,27,61.903455429,111,27,27,18,21,27,27,27
SBF2,0.75,arc111_c=8847,18,84.203660953,18,168.261205842,111,17,17,5,9,17,18,18
SBF2,0.75,arc83_c=10816,8,0.79797954,8,141.119363785,83,7,7,0,1,7,8,8
SBF2,0.75,arc83_c=5853,14,1.0081215,14,0.495608889,83,13,13,1,3,14,14,14
SBF2,0.75,arc83_c=6842,12,1.169465012,12,0.141622886,83,12,12,1,2,12,12,12
SBF2,0.75,arc83_c=8412,10,0.574644733,10,0.993182885,83,10,10,0,1,10,10,10
SBF2,0.75,arc83_c=8898,9,0.47744037,9,0.157560334,83,9,9,0,1,9,9,9
SBF2,0.75,barthol2_c=104,41,593.236459168,41,1.239017945,148,41,41,18,25,41,41,41
SBF2,0.75,barthol2_c=109,39,563.173360729,39,1.608947845,148,39,39,15,24,39,39,39
SBF2,0.75,barthol2_c=112,38,505.771044044,38,1.30276228,148,38,38,13,23,38,38,38
SBF2,0.75,barthol2_c=115,37,561.255412947,37,2.080626543,148,37,37,13,23,37,37,37
SBF2,0.75,barthol2_c=118,36,522.288628452,36,2.100182064,148,36,36,12,21,36,36,36
SBF2,0.75,barthol2_c=121,35,590.440740813,35,4.28964437,148,35,35,12,18,35,35,35
SBF2,0.75,barthol2_c=125,34,498.990902435,34,1.902793155,148,34,34,11,16,34,34,34
SBF2,0.75,barthol2_c=129,33,474.109450813,33,2.058999491,148,33,33,8,15,33,33,33
SBF2,0.75,barthol2_c=133,32,459.645759211,32,2.503070627,148,32,32,7,15,32,32,32
SBF2,0.75,barthol2_c=137,31,427.010463023,31,3.862827262,148,31,31,7,15,31,31,31
SBF2,0.75,barthol2_c=142,30,480.341683753,30,2.50858044,148,30,30,6,11,30,30,30
SBF2,0.75,barthol2_c=146,29,448.973691889,29,41.665373885,148,29,29,6,10,29,29,29
SBF2,0.75,barthol2_c=152,28,406.512472033,28,1.864404102,148,28,28,6,10,28,28,28
SBF2,0.75,barthol2_c=157,27,399.595958865,27,7.57006353,148,27,27,4,9,27,27,27
SBF2,0.75,barthol2_c=163,26,399.499890191,26,9.586133535,148,26,26,1,8,26,26,26
SBF2,0.75,barthol2_c=93,46,537.76200109,46,0.688000126,148,46,46,27,34,46,47,46
SBF2,0.75,barthold_c=403,14,371.323852233,14,599.92858907,148,14,14,2,5,14,14,14
SBF2,0.75,barthold_c=434,13,235.523541527,13,128.811007398,148,13,13,2,4,13,13,13
SBF2,0.75,barthold_c=470,12,250.710287565,12,170.158479098,148,12,12,2,3,12,12,12
SBF2,0.75,barthold_c=513,11,181.362691017,11,31.154835173,148,11,11,2,2,11,11,11
SBF2,0.75,barthold_c=564,10,186.815049835,10,476.166182224,148,10,10,1,2,10,10,10
SBF2,0.75,barthold_c=626,9,130.198870486,9,61.392553002,148,9,9,1,1,9,9,9
SBF2,0.75,barthold_c=705,8,98.186607312,8,29.219825845,148,8,8,1,1,8,8,8
SBF2,0.75,barthold_c=805,7,52.802952293,7,30.706537604,148,7,7,0,1,7,7,7
SBF2,0.75,bowman8_c=20,5,0.001438165,5,7.66413e-4,8,5,5,4,4,5,5,5
SBF2,0.75,buxey_c=27,13,0.040229707,13,0.003871329,29,13,13,12,12,13,13,13
SBF2,0.75,buxey_c=30,11,0.056970819,12,0.004278644,29,11,11,8,9,11,12,12
SBF2,0.75,buxey_c=33,10,0.064036884,11,0.00468351,29,10,10,5,7,11,11,11
SBF2,0.75,buxey_c=36,10,0.055320844,10,0.005735739,29,9,9,4,7,9,10,10
SBF2,0.75,buxey_c=41,8,0.042231318,8,0.004121707,29,8,8,2,6,8,8,8
SBF2,0.75,buxey_c=47,7,0.033917949,7,0.005691097,29,7,7,1,4,7,7,7
SBF2,0.75,buxey_c=54,7,0.0699501,7,0.010633128,29,6,6,0,2,6,7,7
SBF2,0.75,gunther_c=41,13,0.079127856,14,0.003873396,35,12,12,12,12,13,14,14
SBF2,0.75,gunther_c=44,11,0.068733662,12,0.004995841,35,11,11,11,10,11,12,12
SBF2,0.75,gunther_c=49,10,0.046376359,11,0.005096611,35,10,10,7,8,10,11,11
SBF2,0.75,gunther_c=54,9,0.045632843,9,0.008539306,35,9,9,7,8,9,9,9
SBF2,0.75,gunther_c=61,8,0.051537737,9,0.003679619,35,8,8,2,6,8,9,9
SBF2,0.75,gunther_c=69,8,0.033414241,8,0.006332811,35,7,7,2,5,8,8,8
SBF2,0.75,gunther_c=81,7,0.067948463,7,0.010194581,35,6,6,0,4,7,7,7
SBF2,0.75,hahn_c=2004,8,0.025347405,8,0.004854469,53,8,8,5,4,8,8,8
SBF2,0.75,hahn_c=2338,7,0.018481212,7,0.036776045,53,7,7,3,3,7,7,7
SBF2,0.75,hahn_c=2806,6,0.024258556,6,0.020094002,53,5,5,2,3,5,6,6
SBF2,0.75,hahn_c=3507,5,0.015429044,5,0.005048801,53,5,5,1,2,5,5,5
SBF2,0.75,hahn_c=4676,4,0.013810442,4,0.005304906,53,4,4,0,1,4,4,4
SBF2,0.75,heskia_c=138,8,0.055458077,8,0.008148912,28,8,8,5,7,8,8,8
SBF2,0.75,heskia_c=205,5,0.092430328,5,0.018118184,28,5,5,2,3,5,5,5
SBF2,0.75,heskia_c=216,5,0.027322824,5,0.004084858,28,5,5,1,2,5,5,5
SBF2,0.75,heskia_c=256,4,0.058413657,4,0.014576945,28,4,4,0,2,4,4,4
SBF2,0.75,heskia_c=324,4,0.021894036,4,0.00523482,28,4,4,0,1,4,4,4
SBF2,0.75,heskia_c=342,3,0.033893765,3,0.010560896,28,3,3,0,0,3,3,3
SBF2,0.75,jackson_c=10,5,0.003271421,5,9.6825e-4,11,5,5,5,4,5,5,5
SBF2,0.75,jackson_c=13,4,0.002697711,4,0.001157597,11,4,4,1,3,4,4,4
SBF2,0.75,jackson_c=14,4,0.002906966,4,0.001384321,11,4,4,1,3,4,4,4
SBF2,0.75,jackson_c=21,3,0.002636812,3,8.35988e-4,11,3,3,0,1,3,3,3
SBF2,0.75,jackson_c=7,8,0.002277764,8,7.1846e-4,11,8,8,7,8,8,8,8
SBF2,0.75,jackson_c=9,6,0.003063136,6,8.99192e-4,11,6,6,6,5,6,6,6
SBF2,0.75,jaeschke_c=10,4,0.001675106,4,5.81478e-4,9,4,4,3,4,4,4,4
SBF2,0.75,jaeschke_c=18,3,0.001736165,3,8.1781e-4,9,3,3,0,1,3,3,3
SBF2,0.75,jaeschke_c=6,8,0.001432952,8,5.51068e-4,9,8,8,8,8,8,8,8
SBF2,0.75,jaeschke_c=7,7,0.001620566,7,6.69888e-4,9,6,6,7,6,6,7,7
SBF2,0.75,jaeschke_c=8,6,0.002176622,6,5.67177e-4,9,5,5,6,5,6,6,6
SBF2,0.75,kilbrid_c=110,6,0.057659129,6,0.02251552,45,6,6,1,1,6,6,6
SBF2,0.75,kilbrid_c=111,5,0.090091835,5,0.016318524,45,5,5,0,1,5,5,5
SBF2,0.75,kilbrid_c=138,4,0.077070253,4,0.037894247,45,4,4,0,1,4,4,4
SBF2,0.75,kilbrid_c=184,3,0.04381863,3,0.043293107,45,3,3,0,0,3,3,3
SBF2,0.75,kilbrid_c=56,10,0.231446129,10,0.016337645,45,10,10,2,6,10,10,10
SBF2,0.75,kilbrid_c=57,10,0.121963478,10,0.014062486,45,10,10,2,6,10,10,10
SBF2,0.75,kilbrid_c=62,9,0.208875986,9,0.013937277,45,9,9,1,4,9,9,9
SBF2,0.75,kilbrid_c=69,8,0.222803114,8,0.012864936,45,8,8,1,3,8,8,8
SBF2,0.75,kilbrid_c=79,7,0.187650512,7,0.022844458,45,7,7,1,2,7,7,7
SBF2,0.75,kilbrid_c=92,6,0.155123213,6,0.027820127,45,6,6,1,1,6,6,6
SBF2,0.75,lutz1_c=1414,11,0.01157052,11,0.002773714,32,11,11,2,6,11,11,11
SBF2,0.75,lutz1_c=1572,10,0.011353583,10,0.003256466,32,10,10,2,5,10,10,10
SBF2,0.75,lutz1_c=1768,9,0.008101264,9,0.004361633,32,9,9,1,4,9,9,9
SBF2,0.75,lutz1_c=2020,8,0.016743766,8,0.004279598,32,8,8,1,3,8,8,8
SBF2,0.75,lutz1_c=2357,7,0.013726964,7,0.003229107,32,7,7,1,1,7,7,7
SBF2,0.75,lutz1_c=2828,6,0.008029942,6,0.005091237,32,6,6,0,1,6,6,6
SBF2,0.75,lutz2_c=11,47,1.5632869,49,0.010844978,89,47,47,44,45,47,49,49
SBF2,0.75,lutz2_c=12,42,1.875257859,44,0.012477861,89,42,42,40,41,42,44,44
SBF2,0.75,lutz2_c=13,39,2.226188996,40,0.016061363,89,39,39,35,36,39,40,40
SBF2,0.75,lutz2_c=14,36,1.579669847,37,0.020291866,89,36,36,31,32,36,37,37
SBF2,0.75,lutz2_c=15,33,1.898134767,34,0.026023742,89,33,33,26,27,33,34,34
SBF2,0.75,lutz2_c=16,31,1.29493944,31,0.028676075,89,31,31,22,23,31,31,31
SBF2,0.75,lutz2_c=17,29,1.115659701,29,0.030601324,89,29,29,17,22,29,29,29
SBF2,0.75,lutz2_c=18,27,1.583964351,28,0.035646428,89,27,27,13,21,27,28,28
SBF2,0.75,lutz2_c=19,26,1.150137031,26,0.026601754,89,26,26,8,18,26,26,26
SBF2,0.75,lutz2_c=20,25,1.052580082,25,0.031805368,89,25,25,4,18,25,25,25
SBF2,0.75,lutz2_c=21,24,0.953577565,24,0.035621441,89,24,24,0,16,24,24,24
SBF2,0.75,lutz3_c=103,17,0.436012802,17,0.147030246,89,16,16,3,5,17,17,17
SBF2,0.75,lutz3_c=110,15,0.356118996,15,0.135295843,89,15,15,3,5,15,15,15
SBF2,0.75,lutz3_c=118,14,0.389705644,14,0.243135187,89,14,14,3,3,14,14,14
SBF2,0.75,lutz3_c=127,13,0.301358293,14,0.201431726,89,13,13,2,2,13,14,14
SBF2,0.75,lutz3_c=137,13,0.443024845,13,0.135087562,89,13,13,1,2,13,13,13
SBF2,0.75,lutz3_c=150,11,0.306333778,12,0.397632316,89,11,11,0,2,11,12,12
SBF2,0.75,lutz3_c=75,22,0.667249977,23,0.086006151,89,22,22,8,12,23,23,23
SBF2,0.75,lutz3_c=79,21,0.540520053,22,0.119212575,89,21,21,5,11,21,22,22
SBF2,0.75,lutz3_c=83,20,0.60528898,21,0.070151992,89,20,20,5,10,20,21,21
SBF2,0.75,lutz3_c=87,20,0.472783534,20,0.067912902,89,19,19,4,9,20,20,20
SBF2,0.75,lutz3_c=92,18,0.315666369,19,0.095437866,89,18,18,4,8,18,19,19
SBF2,0.75,lutz3_c=97,17,0.628363627,18,0.097244517,89,17,17,3,6,17,18,18
SBF2,0.75,mansoor_c=48,4,0.001815689,4,7.8916e-4,11,4,4,3,3,4,4,4
SBF2,0.75,mansoor_c=62,3,0.002054519,3,7.26353e-4,11,3,3,3,2,3,3,3
SBF2,0.75,mansoor_c=94,2,0.002051589,2,5.5852e-4,11,2,2,0,2,2,2,2
SBF2,0.75,mertens_c=10,3,0.002013284,3,9.44979e-4,7,3,3,3,3,3,3,3
SBF2,0.75,mertens_c=15,2,0.00119999,2,5.34804e-4,7,2,2,0,2,2,2,2
SBF2,0.75,mertens_c=18,2,0.001273766,2,5.38718e-4,7,2,2,0,1,2,2,2
SBF2,0.75,mertens_c=6,6,0.00119824,6,5.22652e-4,7,6,6,6,6,6,6,6
SBF2,0.75,mertens_c=7,5,0.001093536,5,5.32114e-4,7,5,5,5,5,5,5,5
SBF2,0.75,mertens_c=8,5,0.001552837,5,6.00383e-4,7,5,5,5,4,5,5,5
SBF2,0.75,mitchell_c=14,8,0.005594513,8,0.001666357,21,8,8,5,6,8,8,8
SBF2,0.75,mitchell_c=15,8,0.004967601,8,0.002464167,21,8,8,4,6,8,8,8
SBF2,0.75,mitchell_c=21,5,0.00330795,5,7.55507e-4,21,5,5,1,3,5,5,5
SBF2,0.75,mitchell_c=26,5,0.00530651,5,0.001352921,21,5,5,1,2,5,5,5
SBF2,0.75,mitchell_c=35,3,0.003225194,3,8.97781e-4,21,3,3,0,1,3,3,3
SBF2,0.75,mitchell_c=39,3,0.003982431,3,9.27676e-4,21,3,3,0,1,3,3,3
SBF2,0.75,mukherje_c=176,25,18.275594492,25,0.928336088,94,25,25,10,15,25,25,25
SBF2,0.75,mukherje_c=183,24,16.468886188,24,1.188435283,94,24,24,10,15,24,24,24
SBF2,0.75,mukherje_c=192,23,16.266980557,23,2.804918916,94,22,22,8,12,23,23,23
SBF2,0.75,mukherje_c=201,22,13.809940107,22,4.1059786,94,21,21,8,11,22,22,22
SBF2,0.75,mukherje_c=211,21,10.812705524,21,3.534693355,94,20,20,7,10,21,21,21
SBF2,0.75,mukherje_c=222,20,8.738118159,20,91.446315072,94,19,19,7,9,20,20,20
SBF2,0.75,mukherje_c=234,19,6.933537013,19,5.433147761,94,18,18,4,7,19,19,19
SBF2,0.75,mukherje_c=248,18,7.312386998,18,6.643204733,94,17,17,3,6,18,18,18
SBF2,0.75,mukherje_c=263,17,5.781517204,17,38.714516108,94,16,16,3,5,17,17,17
SBF2,0.75,mukherje_c=281,16,4.421803899,16,4.126878854,94,15,15,3,5,16,16,16
SBF2,0.75,mukherje_c=301,15,3.466603383,15,22.075875132,94,14,14,2,4,15,15,15
SBF2,0.75,mukherje_c=324,14,3.307573255,14,12.726311394,94,13,13,1,4,14,14,14
SBF2,0.75,mukherje_c=351,13,2.686596299,13,44.082248876,94,12,12,0,2,13,13,13
SBF2,0.75,roszieg_c=14,10,0.011068981,10,0.002156234,25,9,9,6,7,10,10,10
SBF2,0.75,roszieg_c=16,8,0.008191489,8,0.001684185,25,8,8,4,4,8,8,8
SBF2,0.75,roszieg_c=18,8,0.011084252,8,0.003118227,25,7,7,2,4,8,8,8
SBF2,0.75,roszieg_c=21,6,0.006146738,6,0.002993169,25,6,6,1,4,6,6,6
SBF2,0.75,roszieg_c=25,6,0.012444441,6,0.003247883,25,5,5,1,2,6,6,6
SBF2,0.75,roszieg_c=32,4,0.004840804,4,0.001007134,25,4,4,0,1,4,4,4
SBF2,0.75,sawyer30_c=25,13,0.089812165,14,0.00343659,30,13,13,12,12,13,14,14
SBF2,0.75,sawyer30_c=27,13,0.062820632,13,0.004184082,30,13,13,12,11,13,13,13
SBF2,0.75,sawyer30_c=30,11,0.063051026,12,0.004367768,30,11,11,8,9,11,12,12
SBF2,0.75,sawyer30_c=36,9,0.067223245,10,0.007785366,30,9,9,4,7,9,10,10
SBF2,0.75,sawyer30_c=41,8,0.050006705,8,0.003765012,30,8,8,2,6,8,8,8
SBF2,0.75,sawyer30_c=54,6,0.040360288,7,0.009395346,30,6,6,0,2,6,7,7
SBF2,0.75,sawyer30_c=75,5,0.029345106,5,0.005622224,30,5,5,0,1,5,5,5
SBF2,0.75,tonge70_c=364,10,0.207879903,10,0.058561712,70,10,10,0,3,10,10,10
SBF2,0.75,tonge70_c=410,9,0.242865981,9,0.091636244,70,9,9,0,2,9,9,9
SBF2,0.75,tonge70_c=468,8,0.172763038,8,0.065826285,70,8,8,0,1,8,8,8
SBF2,0.75,tonge70_c=527,7,0.122527012,7,0.044483751,70,7,7,0,0,7,7,7
SBF2,0.75,warnecke_c=104,15,0.598062509,15,0.028120368,58,15,15,3,9,15,15,15
SBF2,0.75,warnecke_c=111,14,0.409632586,14,0.033252455,58,14,14,0,8,14,14,14
SBF2,0.75,warnecke_c=54,30,0.57158091,31,0.008132511,58,30,30,26,26,30,31,31
SBF2,0.75,warnecke_c=56,29,0.662119312,29,0.009310488,58,29,29,26,24,29,29,29
SBF2,0.75,warnecke_c=58,28,0.680829885,29,0.010586103,58,28,28,25,24,28,29,29
